place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Blue Water Park,Amusement Park,Cumilla,Medium,Water amusement and family park,Year-round,Any,250-550,https://www.google.com/maps/search/Blue+Water+Park+Cumilla,Local,Generally safe family park.,Park area family restaurants
Cumilla High School Mosque,Religious,Cumilla,Low,Historic mosque near school,Year-round,Any,Free,https://www.google.com/maps/search/Cumilla+High+School+Mosque,Local,Very safe mosque.,Local mosque area food
Sri Sri Rashasthali,Religious,Cumilla,Low,Local religious site,Year-round,Any,Free-100,https://www.google.com/maps/search/Sri+Sri+Rashasthali+Cumilla,Local,Very safe religious site.,Nearby local eateries
Baitus Salam Jame Mosque,Religious,Cumilla,Low,Beautiful modern mosque,Year-round,Any,Free,https://www.google.com/maps/search/Baitus+Salam+Jame+Mosque+Cumilla,Local,Very safe modern mosque.,Cumilla city restaurants
Kaliajury Mazar,Religious,Cumilla,Low,Local Sufi shrine,Year-round,Any,Free-100,https://www.google.com/maps/search/Kaliajury+Mazar+Cumilla,Local,Generally safe shrine.,Shrine area local food
Munsef Quarter Jame Masjid,Religious,Cumilla,Low,Historic mosque in old quarter,Year-round,Any,Free,https://www.google.com/maps/search/Munsef+Quarter+Jame+Masjid+Cumilla,Local,Very safe historic mosque.,Old quarter eateries
Cumilla New Market,Market,Cumilla,Low,Busy shopping and street food area,Year-round,Any,100-300,https://www.google.com/maps/search/New+Market+Cumilla,Central,Busy market—watch for pickpocketing.,New Market street food, Many local restaurants
Shaheed Minar Cumilla,Memorial,Cumilla,Low,Language movement memorial,Year-round,Any,Free,https://www.google.com/maps/search/Shaheed+Minar+Cumilla,City center,Very safe central memorial.,Central Cumilla restaurants
Cumilla Stadium,Landmark,Cumilla,Low,Sports stadium,Event days,Any,50-200,https://www.google.com/maps/search/Cumilla+Stadium,Bus,Generally safe on event days.,Stadium area eateries
Gomoti River View,River Viewpoint,Cumilla,Low,Scenic river embankment,Nov-Feb,Calm,Free-200,https://www.google.com/maps/search/Gomoti+River+Cumilla,Local,Generally safe river view.,Riverside eateries
Palace of King Bhoj,Historical,Cumilla,Low,Ancient palace ruins site,Year-round,Any,150-350,https://www.google.com/maps/search/Palace+of+King+Bhoj+Cumilla,Local,Generally safe ruins site.,Nearby Cumilla restaurants
Palace of Moynamoti Rani,Historical,Cumilla,Low,Historic queen's palace remains,Year-round,Any,150-350,https://www.google.com/maps/search/Palace+of+Moynamoti+Rani+Cumilla,Local,Generally safe historical remains.,Local eateries
Mainamati Buddhist Vihara,Historical,Cumilla,Low,Additional Buddhist vihara ruins,Year-round,Any,150-400,https://www.google.com/maps/search/Mainamati+Buddhist+Vihara+Cumilla,Bus,Generally safe archaeological site.,Mainamati local restaurants
Comilla Central Park,Park,Cumilla,Low,Urban park for leisure,Year-round,Any,Free-150,https://www.google.com/maps/search/Comilla+Central+Park,In city,Very safe urban park.,Central park nearby restaurants
Cumilla Cantonment Museum,Museum,Cumilla,Low,Small museum with local history,Year-round,Indoor,100-250,https://www.google.com/maps/search/Comilla+Cantonment+Museum,Local,Very safe small museum.,Local Cumilla eateries
Additional Mainamati Mounds,Archaeological,Cumilla,Low,Other archaeological mounds in the ridge,Year-round,Any,100-300,https://www.google.com/maps/search/Mainamati+Mounds+Cumilla,Local bus,Generally safe mound sites.,Mainamati area restaurants
Cumilla Handloom Centers,Cultural,Cumilla,Low,Local handloom and textile areas,Year-round,Any,100-300,https://www.google.com/maps/search/Cumilla+Handloom,Local,Generally safe cultural area.,Handloom area local food
Rasmalai Trail (Kandirpar),Cultural,Cumilla,Low,Famous for traditional sweets and shops,Year-round,Any,150-400,https://www.google.com/maps/search/Kandirpar+Cumilla,City center,Busy area—watch for crowds and petty theft.,Kandirpar sweet shops & restaurants
Cumilla Victoria College Campus,Campus & Nature,Cumilla,Low,Green campus area,Year-round,Any,Free-100,https://www.google.com/maps/search/Comilla+Victoria+College+Campus,Local,Generally safe campus.,College canteens
Lalmai Hill Trek,Natural & Hill,Cumilla,Low,Light trekking on low hills,Post-monsoon,Refreshing,200-450,https://www.google.com/maps/search/Lalmai+Hill+Cumilla,Local,Moderate caution for light trekking; daytime preferred.,Local hill eateries
Shahid Hadis Park,Park,Cumilla,Low,Local park for relaxation,Year-round,Any,Free-150,https://www.google.com/maps/search/Shahid+Hadis+Park+near+Cumilla,Local,Very safe local park.,Park nearby restaurants
Khan Jahan Ali influence sites (accessible),Religious,Cumilla,Low,Additional mosque or shrine spots,Year-round,Any,Free-150,https://www.google.com/maps/search/Khan+Jahan+Ali+near+Cumilla,Bus,Generally safe religious sites.,Local religious area food
Magic Paradise Extension,Amusement Park,Cumilla,Medium,Additional rides or family areas,Year-round,Any,250-550,https://www.google.com/maps/search/Magic+Paradise+Cumilla,Local,Generally safe family area.,Park restaurants
Cumilla Launch Ghat,River Activity,Cumilla,Low,River port area,Year-round,Any,Free,https://www.google.com/maps/search/Cumilla+Launch+Ghat,Local,Busy ghat—standard precautions.,Ghat eateries
Comilla War Memorials,Memorial,Cumilla,Low,Additional liberation war sites,Year-round,Any,Free,https://www.google.com/maps/search/Comilla+War+Memorials,Local,Generally safe memorials.,Nearby Cumilla restaurants
Dharmapur East Area,Cultural,Cumilla,Low,Local village and cultural spots,Year-round,Any,100-250,https://www.google.com/maps/search/Dharmapur+East+Cumilla,Local bus,Generally safe village area.,Village local food
Cumilla Sweet Shops Trail,Cultural,Cumilla,Low,Trail for famous Comilla rasmalai and sweets,Year-round,Any,150-350,https://www.google.com/maps/search/Comilla+Sweets+Kandirpar,In city,Busy commercial area—watch for crowds.,Kandirpar sweet shops & restaurants
