place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Tanguar Haor,Natural Wetland,Sylhet,Medium,Beautiful Ramsar wetland for birdwatching and boat rides,Nov-Feb or monsoon,Scenic,400-700,https://www.google.com/maps/search/Tanguar+Haor+Sylhet,Bus to Sunamganj area,Moderate caution in large wetland; organized boat tours preferred.,Sunamganj haor side restaurants
Hakaluki Haor,Natural Wetland,Sylhet,Medium,Largest haor with rich biodiversity and excellent birdwatching,Nov-Feb,Birdwatching best,350-650,https://www.google.com/maps/search/Hakaluki+Haor+Sylhet,Bus from Sylhet,Moderate caution; large wetland—better with local guide.,Hakaluki local eateries
Bholaganj Sada Pathor,Natural Stone Area,Sylhet,Low,White stone riverbed with clear flowing water and mountain views,Nov-Feb,Calm,250-500,https://www.google.com/maps/search/Bholaganj+Sada+Pathor+Sylhet,Local transport (1.5 hr),Generally safe stone riverbed; slippery stones—caution.,Bholaganj local food
Khadimnagar National Park,National Park,Sylhet,Medium,Rainforest park with trekking and surrounded by tea estates,Nov-Feb,Cool,300-600,https://www.google.com/maps/search/Khadimnagar+National+Park+Sylhet,Bus from Sylhet,Moderate caution for trekking in rainforest; stick to marked paths.,Park gate and tea estate restaurants
Pangthumai Waterfall,Waterfall,Sylhet,Low,Scenic waterfall in hilly area ideal for nature lovers,Post-monsoon or winter,Refreshing,300-550,https://www.google.com/maps/search/Pangthumai+Waterfall+Sylhet,Local bus + short trek,Moderate caution; slippery paths around waterfall.,Local waterfall eateries
Malnicherra Tea Estate,Tea Estate,Sylhet,Low,One of the oldest tea gardens in Bangladesh with scenic walks,Nov-Feb,Lush,200-400,https://www.google.com/maps/search/Malnicherra+Tea+Estate+Sylhet,Bus from Sylhet,Generally safe tea estate with easy access.,Malnicherra tea garden cafes
Lakkatura Tea Garden,Tea Estate,Sylhet,Low,Picturesque tea plantation close to city for easy visit,Nov-Feb,Green,150-350,https://www.google.com/maps/search/Lakkatura+Tea+Garden+Sylhet,Local bus,Generally safe and easily accessible tea garden.,Lakkatura tea restaurants
Shrine of Hazrat Shah Paran,Religious Shrine,Sylhet,Low,Historic Sufi shrine on hilltop with peaceful atmosphere,Year-round,Any,Free-100,https://www.google.com/maps/search/Hazrat+Shah+Paran+Shrine+Sylhet,Bus to nearby area,Very safe hilltop shrine.,Shrine area local food
Keane Bridge,Landmark,Sylhet,Low,Historic bridge over Surma River with nice views,Year-round,Any,Free,https://www.google.com/maps/search/Keane+Bridge+Sylhet,City center,Very safe central bridge landmark.,Bridge side restaurants
Hum Hum Waterfall,Waterfall,Sylhet,Low,Remote scenic waterfall suitable for trekking adventure,Post-rain,Refreshing,300-550,https://www.google.com/maps/search/Hum+Hum+Waterfall+Sylhet,Local transport + trek,Moderate to high caution; remote and requires trekking—go with experienced group/guide.,Remote local stalls (limited)
Madhabpur Lake,Lake,Sylhet,Low,Peaceful lake surrounded by tea gardens for relaxation,Nov-Feb,Calm,200-400,https://www.google.com/maps/search/Madhabpur+Lake+Sylhet,Bus to Sreemangal area,Generally safe peaceful lake area.,Sreemangal lake side eateries
Shapla Bill,Natural Wetland,Sylhet,Low,Water lily covered wetland for boat rides,Monsoon or winter,Lush,250-450,https://www.google.com/maps/search/Shapla+Bill+Sylhet,Local bus,Generally safe wetland for boat rides.,Local boat side food
Kala Pahar,Hill Viewpoint,Sylhet,Medium,Hilltop viewpoint offering panoramic views,Nov-Feb,Clear skies,300-500,https://www.google.com/maps/search/Kala+Pahar+Sylhet,Local transport,Generally safe hill viewpoint.,Hill top local restaurants
Tamabil Border Area,Border Scenic Spot,Sylhet,Low,Scenic border area with hills and river views,Nov-Feb,Cool,200-400,https://www.google.com/maps/search/Tamabil+Sylhet,Bus from Sylhet,Border area—respect rules and do not cross restricted zones.,Tamabil border restaurants
Sylhet International Cricket Stadium,Landmark,Sylhet,Low,Modern cricket stadium for sports fans and events,Event days,Any,50-300,https://www.google.com/maps/search/Sylhet+International+Cricket+Stadium+Sylhet,City accessible,Generally safe on event days with security.,Stadium area eateries
Shahi Eidgah,Religious Site,Sylhet,Low,Large historic Eid prayer ground with cultural significance,Year-round,Any,Free,https://www.google.com/maps/search/Shahi+Eidgah+Sylhet,City center,Very safe large religious ground.,City center mezban
Surma River Cruise,River Activity,Sylhet,Medium,Scenic boat ride on the Surma River,Nov-Feb,Calm waters,400-700,https://www.google.com/maps/search/Surma+River+Sylhet,City ghat,Generally safe on organized river cruises.,Surma ghat restaurants
Museum of Rajas,Folk Museum,Sylhet,Low,Folk museum related to famous folk singer Hason Raja,Year-round,Indoor,100-200,https://www.google.com/maps/search/Museum+of+Rajas+Sylhet,City center (Zinda Bazar),Very safe indoor folk museum.,Zinda Bazar restaurants
Chandni Ghat,Riverside Ghat,Sylhet,Low,Popular riverside ghat with local life and views,Year-round,Any,Free,https://www.google.com/maps/search/Chandni+Ghat+Sylhet,City riverside,Busy ghat—standard precautions for crowds.,Ghat side local food
Shahjalal University of Science and Technology,Campus & Nature,Sylhet,Low,Beautiful hilly university campus with green views,Year-round,Any,Free-100,https://www.google.com/maps/search/Shahjalal+University+Sylhet,Bus from city,Generally safe university campus during day.,University canteens
Jaintia Rajbari,Historical Site,Sylhet,Low,Ancient ruins of Jaintia kingdom,Year-round,Any,100-300,https://www.google.com/maps/search/Jaintia+Rajbari+Sylhet,Local bus to Jaintiapur,Generally safe historical ruins.,Jaintiapur local eateries
Mayabati Jharna,Waterfall,Sylhet,Low,Scenic waterfall in the hills,Post-monsoon,Refreshing,250-500,https://www.google.com/maps/search/Mayabati+Jharna+Sylhet,Local transport + trek,Moderate caution; slippery paths.,Local waterfall stalls
Rangpani Waterfall,Waterfall,Sylhet,Low,Mountain waterfall with white stone formations,Post-rain,Refreshing,300-550,https://www.google.com/maps/search/Rangpani+Waterfall+Sylhet,Local bus,Moderate caution around waterfall and stones.,Nearby local food
DB Haor,Natural Wetland,Sylhet,Medium,Scenic haor wetland area,Nov-Feb or monsoon,Scenic,350-600,https://www.google.com/maps/search/DB+Haor+Sylhet,Bus to relevant area,Moderate caution in wetland; boat safety.,Haor side restaurants
Lovachara Forest,Forest,Sylhet,Medium,Part of rainforest area for nature walks,Nov-Feb,Cool,300-550,https://www.google.com/maps/search/Lovachara+Forest+Sylhet,Bus to nearby,Moderate caution in forest; stick to trails.,Forest gate eateries
Sylhet City Park,Park,Sylhet,Low,Urban park for relaxation in the city,Year-round,Any,Free-100,https://www.google.com/maps/search/Sylhet+City+Park+Sylhet,Central,Very safe urban park.,City park nearby restaurants
Adventure World,Amusement Park,Sylhet,Medium,Family amusement and adventure park,Year-round,Any,300-600,https://www.google.com/maps/search/Adventure+World+Sylhet,Outskirts by bus,Generally safe family amusement park.,Park restaurants
Sreemangal Tea Museum,Museum,Sylhet,Low,Museum showcasing tea history and culture,Year-round,Indoor,150-300,https://www.google.com/maps/search/Sreemangal+Tea+Museum,Bus to Sreemangal,Very safe indoor museum.,Sreemangal tea restaurants
Baikka Beel Wetland,Wetland,Sylhet,Low,Wetland area good for birdwatching,Nov-Feb,Birdwatching,200-400,https://www.google.com/maps/search/Baikka+Beel+Sylhet,Local transport,Generally safe wetland for birdwatching.,Local haor eateries
Rema-Kalenga Wildlife Sanctuary,Wildlife Sanctuary,Sylhet,Medium,Forest sanctuary with wildlife,Nov-Feb,Cool,350-650,https://www.google.com/maps/search/Rema+Kalenga+Wildlife+Sanctuary,Bus to Habiganj area,Moderate caution in wildlife sanctuary; guided visits recommended.,Sanctuary gate food
Shimul Bagan,Natural Spot,Sylhet,Low,Scenic garden area,Nov-Feb,Lush,200-400,https://www.google.com/maps/search/Shimul+Bagan+Sylhet,Local bus,Generally safe garden spot.,Garden nearby eateries
Tekerghat,Natural Spot,Sylhet,Low,Scenic confluence area with river views,Nov-Feb,Calm,250-500,https://www.google.com/maps/search/Tekerghat+Sylhet,Bus to Sunamganj,Generally safe scenic confluence.,Sunamganj local restaurants
Zakiganj River Confluence,Natural Spot,Sylhet,Low,Confluence of Surma, Kushiyara and Barak rivers,Nov-Feb,Scenic,300-550,https://www.google.com/maps/search/Zakiganj+River+Confluence+Sylhet,Bus to Zakiganj,Generally safe river confluence area.,Zakiganj eateries
Sripur Scenic Area,Natural Area,Sylhet,Low,Scenic spot with natural beauty,Nov-Feb,Pleasant,200-450,https://www.google.com/maps/search/Sripur+Sylhet,Local transport,Generally safe scenic area.,Local food stalls
Pantulai Waterfall,Waterfall,Sylhet,Low,Another scenic waterfall in the region,Post-rain,Refreshing,250-500,https://www.google.com/maps/search/Pantulai+Waterfall+Sylhet,Local bus + trek,Moderate caution; slippery waterfall area.,Nearby local stalls
Gour Gobinda Tila,Historical Site,Sylhet,Low,Ancient mound with historical significance,Year-round,Any,Free-100,https://www.google.com/maps/search/Gour+Gobinda+Tila+Sylhet,City area,Generally safe historical mound.,City area restaurants
Kinbridge,Landmark,Sylhet,Low,Another historic bridge landmark,Year-round,Any,Free,https://www.google.com/maps/search/Kinbridge+Sylhet,City,Very safe central bridge.,Bridge side food
Jitu Mia's House,Historical House,Sylhet,Low,Historic residence with cultural value,Year-round,Any,Free-100,https://www.google.com/maps/search/Jitu+Mia's+House+Sylhet,City center,Generally safe historical house.,Zinda Bazar restaurants
