place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Nayabad Mosque,Religious,Rangpur,Low,Ancient mosque with historical value,Year-round,Any,Free-100,https://www.google.com/maps/search/Nayabad+Mosque+Dinajpur,Local bus,Very safe ancient mosque.,Local mosque area food
Kaliya Jue Temple,Religious,Rangpur,Low,Local Hindu temple site,Year-round,Any,Free-150,https://www.google.com/maps/search/Kaliya+Jue+Temple+Dinajpur,Local,Very safe local temple.,Temple eateries
Hili Land Port,Landmark,Rangpur,Low,Border area with views,Year-round,Any,Free-200,https://www.google.com/maps/search/Hili+Land+Port,Bus,Border area—standard precautions and respect local rules.,Hili local restaurants
Shita Coat Bihar,Archaeological,Rangpur,Low,Ancient Buddhist site,Year-round,Any,150-400,https://www.google.com/maps/search/Shita+Coat+Bihar+Dinajpur,Local,Generally safe archaeological site.,Local area food
Gaibandha Pouro Park,Park,Rangpur,Low,Urban park in Gaibandha,Year-round,Any,Free-100,https://www.google.com/maps/search/Gaibandha+Pouro+Park,Bus,Very safe local park.,Gaibandha eateries
Chandamari Masjid,Religious,Rangpur,Low,Historic mosque in Kurigram,Year-round,Any,Free-100,https://www.google.com/maps/search/Chandamari+Masjid+Kurigram,Bus,Very safe mosque.,Kurigram local food
Funcity Children Park,Amusement Park,Rangpur,Low,Children's park with rides,Year-round,Any,100-300,https://www.google.com/maps/search/Funcity+Children+Park+Rangpur,Local,Very safe children's park.,Park family food
Rangpur Museum,Museum,Rangpur,Low,Regional museum with artifacts,Year-round,Indoor,100-250,https://www.google.com/maps/search/Rangpur+Museum,In city,Very safe indoor museum.,Rangpur city restaurants
Kellaband Mosque,Religious,Rangpur,Low,Mosque with terracotta embellishments,Year-round,Any,Free-150,https://www.google.com/maps/search/Kellaband+Mosque+Rangpur,Local,Very safe mosque.,Local eateries
Sura Mosque,Religious,Rangpur,Low,Historic mosque near Dinajpur,Year-round,Any,Free-100,https://www.google.com/maps/search/Sura+Mosque+Ghorahat,Bus,Very safe historic mosque.,Nearby food
Ghughu Danga Landlord House,Historical,Rangpur,Low,Old zamindar house,Year-round,Any,100-250,https://www.google.com/maps/search/Ghughu+Danga+Dinajpur,Local,Generally safe historical house.,Dinajpur local restaurants
Dinajpur Museum,Museum,Rangpur,Low,Local history museum,Year-round,Indoor,100-250,https://www.google.com/maps/search/Dinajpur+Museum,In Dinajpur,Very safe small museum.,Dinajpur eateries
Sukhsagar Pond,Natural Lake,Rangpur,Low,Scenic pond in Dinajpur,Year-round,Any,100-300,https://www.google.com/maps/search/Sukhsagar+Dinajpur,Local,Generally safe pond.,Pond side stalls
Rangpur Central Park,Park,Rangpur,Low,Central leisure park,Year-round,Any,Free-150,https://www.google.com/maps/search/Rangpur+Central+Park,In city,Very safe central park.,Central Rangpur restaurants
Collectorate Surovi Park,Park,Rangpur,Low,Green park area,Year-round,Any,Free-100,https://www.google.com/maps/search/Collectorate+Surovi+Park+Rangpur,Local,Very safe local park.,Nearby food
Shrine of local saints,Religious,Rangpur,Low,Peaceful local shrines,Year-round,Any,Free-100,https://www.google.com/maps/search/Shrine+Rangpur,Local,Very safe local shrines.,Shrine area eateries
Rangpur Stadium,Landmark,Rangpur,Low,Cricket and sports stadium,Event days,Any,50-200,https://www.google.com/maps/search/Rangpur+Stadium,Bus,Generally safe on event days.,Stadium eateries
New Market Rangpur,Market,Rangpur,Low,Bustling shopping area,Year-round,Any,100-300,https://www.google.com/maps/search/New+Market+Rangpur,Central,Busy market—watch for pickpocketing.,New Market street food
Shaheed Minar Rangpur,Memorial,Rangpur,Low,Language martyrs memorial,Year-round,Any,Free,https://www.google.com/maps/search/Shaheed+Minar+Rangpur,City center,Very safe memorial.,City center restaurants
Kurigram Local Parks,Park,Rangpur,Low,Small green spaces in Kurigram,Year-round,Any,Free-100,https://www.google.com/maps/search/Kurigram+Parks,Bus,Very safe small parks.,Kurigram local food
Panchagarh Hill Views,Hill Viewpoint,Rangpur,Low,Scenic hill areas,Nov-Feb,Clear,200-500,https://www.google.com/maps/search/Panchagarh+Hills,Bus,Generally safe hill viewpoints.,Panchagarh restaurants
Thakurgaon Local Spots,Cultural,Rangpur,Low,Local cultural sites,Year-round,Any,100-300,https://www.google.com/maps/search/Thakurgaon+near+Rangpur,Bus,Generally safe local cultural spots.,Thakurgaon eateries
Nilphamari Attractions,Cultural,Rangpur,Low,Division-wide local attractions,Year-round,Any,150-350,https://www.google.com/maps/search/Nilphamari+near+Rangpur,Bus,Generally safe local attractions.,Nilphamari local food
Gaibandha River Views,River Viewpoint,Rangpur,Low,Scenic river areas,Nov-Feb,Cool,Free-200,https://www.google.com/maps/search/Gaibandha+River,Local,Generally safe river views.,River side stalls
Dinajpur Twin Temple,Religious,Rangpur,Low,Twin Hindu temple structures,Year-round,Any,Free-150,https://www.google.com/maps/search/Gopalganj+Twin+Temple+Dinajpur,Local,Very safe twin temples.,Temple area food
Rangpur Cantonment Area,Landmark,Rangpur,Low,Military area with views (accessible parts),Year-round,Any,Free,https://www.google.com/maps/search/Rangpur+Cantonment,Local,Generally safe accessible cantonment parts.,Cantonment area restaurants
Dream Holiday Park,Amusement Park,Rangpur,Medium,Family holiday park,Year-round,Any,250-600,https://www.google.com/maps/search/Dream+Holiday+Park+near+Rangpur,Bus,Generally safe family park.,Park restaurants
Sonaimuri Park,Park,Rangpur,Low,Local park area,Year-round,Any,Free-100,https://www.google.com/maps/search/Sonaimuri+Park+near+Rangpur,Local,Very safe local park.,Local eateries
Arshinagar Park,Park,Rangpur,Low,Another green park,Year-round,Any,Free-100,https://www.google.com/maps/search/Arshinagar+Park+near+Rangpur,Local,Very safe green park.,Park food
Bhai Girish Chandra Sen House,Historical,Rangpur,Low,Historic reformer house,Year-round,Any,Free-150,https://www.google.com/maps/search/Bhai+Girish+Chandra+Sen+House,Local,Generally safe historical house.,Local Rangpur restaurants
Sir KG Gupta Home,Historical,Rangpur,Low,Colonial-era historic home,Year-round,Any,Free-100,https://www.google.com/maps/search/Sir+KG+Gupta+Home+near+Rangpur,Local,Generally safe historical home.,Nearby food
Birsreshtho Matiur Rahman Memorial,Memorial,Rangpur,Low,War hero memorial,Year-round,Any,Free,https://www.google.com/maps/search/Birsreshtho+Matiur+Rahman,Local,Generally safe memorial.,Local eateries
Rangpur Silk or Local Crafts,Cultural,Rangpur,Low,Local handicraft areas,Year-round,Any,100-300,https://www.google.com/maps/search/Rangpur+Local+Crafts,Local market,Generally safe craft market area.,Market street food
