place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Pancharatna Gobinda Mandir,Religious,Rajshahi,Low,Five-domed ornate Hindu temple in Puthia,Nov-Feb,Clear,100-300,https://www.google.com/maps/search/Pancharatna+Gobinda+Mandir+Puthia,Bus to Puthia,Very safe temple.,Puthia temple food
Rajshahi Silk Factory View,Industrial & Cultural,Rajshahi,Low,Famous area for traditional silk production,Year-round,Any,Free-200,https://www.google.com/maps/search/Rajshahi+Silk+Factory,Local bus,Generally safe industrial/cultural area for viewing.,Silk factory area local food
Shabash Bangladesh,Memorial,Rajshahi,Low,Independence war memorial sculpture,Year-round,Any,Free,https://www.google.com/maps/search/Shabash+Bangladesh+Rajshahi,City center,Very safe memorial.,City center restaurants
Green Valley Park,Park,Rajshahi,Low,Peaceful park with greenery and walking paths,Year-round,Any,100-250,https://www.google.com/maps/search/Green+Valley+Park+Rajshahi,Local transport,Very safe peaceful park.,Park nearby eateries
Boro Kuthi,Historical,Rajshahi,Low,Colonial-era historic kuthi building,Year-round,Any,Free-100,https://www.google.com/maps/search/Boro+Kuthi+Rajshahi,Local transport,Generally safe historical building.,Local Rajshahi restaurants
Padma River Cruise,River Activity,Rajshahi,Medium,Scenic boat ride on the mighty Padma River,Nov-Feb,Calm waters,400-800,https://www.google.com/maps/search/Padma+River+Rajshahi,From river ghat,Generally safe on organized boat rides.,River ghat restaurants
Santal Tribal Village,Cultural,Rajshahi,Low,Visit to ethnic Santal community village,Year-round,Any,150-400,https://www.google.com/maps/search/Santal+Village+near+Rajshahi,Local bus + walk,Generally safe with respectful behavior and local guide.,Village local food (with permission)
Kantajew Temple,Religious,Rajshahi,Medium,Iconic terracotta Hindu temple near Dinajpur,Nov-Feb,Clear,300-600,https://www.google.com/maps/search/Kantajew+Temple+Dinajpur,Bus from Rajshahi,Very safe iconic temple site.,Temple area restaurants
Rajshahi College,Landmark,Rajshahi,Low,Historic educational institution with old architecture,Year-round,Any,Free,https://www.google.com/maps/search/Rajshahi+College,In city,Generally safe college area.,College canteens
Safina Park,Park,Rajshahi,Low,Scenic park ideal for family relaxation,Year-round,Any,Free-150,https://www.google.com/maps/search/Safina+Park+Rajshahi,Local,Very safe family park.,Park local food
Barind Museum,Museum,Rajshahi,Low,Museum displaying Barind region history and artifacts,Year-round,Indoor,100-250,https://www.google.com/maps/search/Barind+Museum+Rajshahi,City bus,Very safe indoor museum.,Rajshahi city eateries
Dhopkols River Ghats,Cultural View,Rajshahi,Low,Traditional washermen ghats along the river,Nov-Feb,Cool,Free-100,https://www.google.com/maps/search/Dhopkols+Rajshahi,Riverside,Generally safe cultural riverside view.,Riverside stalls
Natore Rajbari,Historical,Rajshahi,Low,Historic zamindar palace complex,Year-round,Any,150-350,https://www.google.com/maps/search/Natore+Rajbari,Bus to Natore,Generally safe historical palace.,Natore local restaurants
Sonamasjid,Historical,Rajshahi,Low,Ancient mosque ruins in Chapainawabganj,Year-round,Any,Free-150,https://www.google.com/maps/search/Sonamasjid+Chapainawabganj,Bus,Generally safe ruins site.,Chapainawabganj eateries
Gokul Medh,Archaeological,Rajshahi,Low,Ancient mound and ruins near Mahasthangarh,Nov-Feb,Dry,150-400,https://www.google.com/maps/search/Gokul+Medh+near+Bogra,Bus,Generally safe archaeological mound.,Bogra side restaurants
Hardinge Bridge,Landmark,Rajshahi,Low,Historic railway bridge over Padma River,Year-round,Any,Free,https://www.google.com/maps/search/Hardinge+Bridge+Rajshahi,Train or bus,Generally safe landmark for views.,Bridge area local food
Rajshahi New Market,Market,Rajshahi,Low,Busy shopping area with local products,Year-round,Any,100-300,https://www.google.com/maps/search/New+Market+Rajshahi,Central city,Busy market—watch for pickpocketing.,New Market street food
Shaheed Minar,Rajshahi,Memorial,Rajshahi,Low,Memorial for language movement martyrs,Year-round,Any,Free,https://www.google.com/maps/search/Shaheed+Minar+Rajshahi,City center,Very safe memorial.,City center restaurants
Aquarium Gallery,Wildlife,Rajshahi,Low,Small aquarium exhibit with local fish species,Year-round,Indoor,100-200,https://www.google.com/maps/search/Aquarium+Gallery+Rajshahi,Local,Very safe small aquarium.,Local Rajshahi eateries
Oddvar Munksgaard Park,Park,Rajshahi,Low,Green park area for leisure,Year-round,Any,Free-100,https://www.google.com/maps/search/Oddvar+Munksgaard+Park+Rajshahi,Local,Very safe local park.,Park nearby food
Chalan Beel,Natural Lake,Rajshahi,Medium,Large wetland for birdwatching and boating,Nov-Feb,Cool,300-600,https://www.google.com/maps/search/Chalan+Beel+near+Rajshahi,Local bus,Generally safe wetland; boat safety and daytime preferred.,Chalan Beel local eateries
Paharpur Buddhist Vihara,Historical,Rajshahi,Medium,Ancient ruins and monastic cells,Nov-Feb,Dry,250-550,https://www.google.com/maps/search/Paharpur+Buddhist+Vihara,Bus,Generally safe UNESCO-related ruins.,Paharpur restaurants
Natore Dighi,Natural Lake,Rajshahi,Low,Scenic large pond with surrounding views,Year-round,Any,100-300,https://www.google.com/maps/search/Natore+Dighi,Bus to Natore,Generally safe pond area.,Natore local food
Rajshahi Stadium,Landmark,Rajshahi,Low,Cricket stadium for sports events,Event days,Any,50-200,https://www.google.com/maps/search/Rajshahi+Stadium,Bus,Generally safe on event days.,Stadium area eateries
Mango Garden Tour,Agricultural,Rajshahi,Low,Famous mango orchards during season,May-Jun,Hot but fruitful,200-400,https://www.google.com/maps/search/Mango+Gardens+Rajshahi,Local hired transport,Generally safe agricultural tour during season.,Garden side seasonal food
Ullapara Jaldanga Floating House,Cultural,Rajshahi,Medium,Unique floating restaurant on wetland,Year-round,Any,300-600,https://www.google.com/maps/search/Jaldanga+Ullapara,Bus,Generally safe floating cultural spot; boat safety.,Floating house restaurant (on site)
Kantanagar Temple (extension),Religious,Rajshahi,Medium,Ornate temple architecture,Nov-Feb,Clear,250-500,https://www.google.com/maps/search/Kantanagar+Temple,Bus,Very safe ornate temple.,Temple local food
Ramsagar Dighi,Natural Lake,Rajshahi,Low,Large historic man-made lake,Year-round,Any,150-350,https://www.google.com/maps/search/Ramsagar+Dighi+Dinajpur,Bus,Generally safe historic lake.,Dinajpur area restaurants
Dinajpur Rajbari,Historical,Rajshahi,Low,Historic landlord palace,Year-round,Any,100-300,https://www.google.com/maps/search/Dinajpur+Rajbari,Bus,Generally safe historical palace.,Dinajpur local eateries
Nayabad Mosque,Religious,Rajshahi,Low,Ancient mosque near Dinajpur,Year-round,Any,Free-100,https://www.google.com/maps/search/Nayabad+Mosque+Dinajpur,Local bus,Very safe ancient mosque.,Local mosque food
Teesta River View,Natural,Rangpur influence but accessible,Rajshahi,Low,Scenic river embankment views,Nov-Feb,Cool,Free-200,https://www.google.com/maps/search/Teesta+River+near+Rangpur,Longer bus,Generally safe river viewpoint.,Riverside stalls
Begum Rokeya Memorial,Cultural,Rajshahi,Low,Memorial to social reformer with exhibits,Year-round,Any,Free-150,https://www.google.com/maps/search/Begum+Rokeya+Memorial+Pairaband,Bus,Generally safe memorial.,Pairaband local food
Town Hall Park,Park,Rajshahi,Low,Central park with historical significance,Year-round,Any,Free-100,https://www.google.com/maps/search/Rangpur+Town+Hall+near+Rajshahi,Local,Very safe central park.,Town hall area restaurants
